12c00000-52c00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
6f3dc000-6f636000 rw-p 00000000 00:00 0                                  [anon:dalvik-/apex/com.android.art/javalib/boot.art]
6f636000-6f677000 rw-p 00000000 00:00 0                                  [anon:dalvik-/apex/com.android.art/javalib/boot-core-libart.art]
6f677000-6f69d000 rw-p 00000000 00:00 0                                  [anon:dalvik-/apex/com.android.art/javalib/boot-okhttp.art]
6f69d000-6f6d1000 rw-p 00000000 00:00 0                                  [anon:dalvik-/apex/com.android.art/javalib/boot-bouncycastle.art]
6f6d1000-6f6d2000 rw-p 00000000 00:00 0                                  [anon:dalvik-/apex/com.android.art/javalib/boot-apache-xml.art]
6f6d2000-6f77d000 r--p 00000000 fd:0b 63                                 /apex/com.android.art/javalib/arm64/boot.oat
6f77d000-6fadc000 r-xp 000ab000 fd:0b 63                                 /apex/com.android.art/javalib/arm64/boot.oat
6fadc000-6fadd000 rw-p 00000000 00:00 0                                  [anon:.bss]
6fadd000-6fae9000 rw-p 00000000 fd:0b 64                                 /apex/com.android.art/javalib/arm64/boot.vdex
6fae9000-6faea000 r--p 0040a000 fd:0b 63                                 /apex/com.android.art/javalib/arm64/boot.oat
6faea000-6faeb000 rw-p 0040b000 fd:0b 63                                 /apex/com.android.art/javalib/arm64/boot.oat
6faeb000-6faf9000 r--p 00000000 fd:0b 57                                 /apex/com.android.art/javalib/arm64/boot-core-libart.oat
6faf9000-6fb44000 r-xp 0000e000 fd:0b 57                                 /apex/com.android.art/javalib/arm64/boot-core-libart.oat
6fb44000-6fb45000 rw-p 00000000 00:00 0                                  [anon:.bss]
6fb45000-6fb47000 rw-p 00000000 fd:0b 58                                 /apex/com.android.art/javalib/arm64/boot-core-libart.vdex
6fb47000-6fb48000 r--p 00059000 fd:0b 57                                 /apex/com.android.art/javalib/arm64/boot-core-libart.oat
6fb48000-6fb49000 rw-p 0005a000 fd:0b 57                                 /apex/com.android.art/javalib/arm64/boot-core-libart.oat
6fb49000-6fb56000 r--p 00000000 fd:0b 60                                 /apex/com.android.art/javalib/arm64/boot-okhttp.oat
6fb56000-6fb90000 r-xp 0000d000 fd:0b 60                                 /apex/com.android.art/javalib/arm64/boot-okhttp.oat
6fb90000-6fb91000 rw-p 00000000 00:00 0                                  [anon:.bss]
6fb91000-6fb92000 rw-p 00000000 fd:0b 61                                 /apex/com.android.art/javalib/arm64/boot-okhttp.vdex
6fb92000-6fb93000 r--p 00047000 fd:0b 60                                 /apex/com.android.art/javalib/arm64/boot-okhttp.oat
6fb93000-6fb94000 rw-p 00048000 fd:0b 60                                 /apex/com.android.art/javalib/arm64/boot-okhttp.oat
6fb94000-6fb9b000 r--p 00000000 fd:0b 54                                 /apex/com.android.art/javalib/arm64/boot-bouncycastle.oat
6fb9b000-6fbae000 r-xp 00007000 fd:0b 54                                 /apex/com.android.art/javalib/arm64/boot-bouncycastle.oat
6fbae000-6fbaf000 rw-p 00000000 00:00 0                                  [anon:.bss]
6fbaf000-6fbb5000 rw-p 00000000 fd:0b 55                                 /apex/com.android.art/javalib/arm64/boot-bouncycastle.vdex
6fbb5000-6fbb6000 r--p 0001a000 fd:0b 54                                 /apex/com.android.art/javalib/arm64/boot-bouncycastle.oat
6fbb6000-6fbb7000 rw-p 0001b000 fd:0b 54                                 /apex/com.android.art/javalib/arm64/boot-bouncycastle.oat
6fbb7000-6fbba000 r--p 00000000 fd:0b 51                                 /apex/com.android.art/javalib/arm64/boot-apache-xml.oat
6fbba000-6fbbd000 rw-p 00000000 fd:0b 52                                 /apex/com.android.art/javalib/arm64/boot-apache-xml.vdex
6fbbd000-6fbbe000 r--p 00003000 fd:0b 51                                 /apex/com.android.art/javalib/arm64/boot-apache-xml.oat
6fbbe000-6fbbf000 rw-p 00004000 fd:0b 51                                 /apex/com.android.art/javalib/arm64/boot-apache-xml.oat
6fbbf000-707e7000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework.art]
707e7000-707e8000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-graphics.art]
707e8000-70806000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ext.art]
70806000-709b6000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-telephony-common.art]
